stevilka_vrecke,datum_prejetja
17867304,07/06/2011
96274962,28/05/2018
98493827,29/09/2014
50650575,23/03/2011
97872387,02/03/2012
54299285,15/10/2014
92185096,08/12/2011
46809471,14/09/2015
51087416,08/03/2012
49024791,02/01/2019
13000233,28/03/2019
73494582,08/02/2013
24145044,25/12/2015
89819726,20/06/2014
64226602,09/08/2014
70227205,10/12/2016
47429715,30/10/2013
13437711,30/01/2019
72618879,16/02/2017
06493442,22/03/2016
66049422,19/11/2017
61845304,11/05/2018
30868088,25/11/2016
76874232,16/09/2012
65102840,02/11/2016
65446948,27/10/2018
71515515,19/01/2012
59684577,10/06/2015
34442388,07/04/2015
39434419,26/05/2011
80983503,15/10/2011
03364817,23/10/2014
47582820,07/12/2013
80629781,12/05/2019
79349128,09/03/2012
59367373,10/04/2018
19672846,14/04/2016
84725353,11/11/2016
46425954,20/11/2015
20811685,14/11/2018
55481182,17/12/2010
07696331,26/06/2016
90140685,11/10/2018
34794474,17/07/2015
33073798,18/02/2018
44487354,24/03/2013
15479326,10/06/2010
30655883,18/05/2017
13314373,29/03/2012
93707264,21/12/2012
89259301,30/05/2016
55197206,29/12/2017
86798604,25/11/2016
96144641,26/06/2016
97202833,19/08/2016
22501712,31/07/2013
91136923,19/11/2015
30828864,25/03/2013
32532542,25/06/2013
06035983,25/05/2012
21149359,28/07/2011
64713987,07/11/2013
09153457,01/06/2012
03286194,17/12/2016
49844488,24/04/2015
69428076,07/04/2017
47680617,11/07/2010
27574279,19/04/2012
85160268,05/01/2015
14189567,19/07/2015
11441649,02/08/2015
64605526,12/10/2018
36603625,11/11/2017
31209775,03/04/2018
14318570,05/10/2016
59887738,28/06/2017
93344537,19/07/2017
08303385,22/02/2015
16059669,26/08/2013
99794404,31/07/2017
37708692,08/02/2015
05587680,14/10/2016
62704363,31/12/2017
73153474,06/11/2017
47869889,11/01/2014
12024813,17/10/2017
92572144,30/10/2014
44036933,09/04/2016
52191087,07/01/2019
74550437,10/01/2013
15081031,28/10/2011
34226162,10/04/2014
01182739,04/10/2012
95368166,27/08/2014
98693035,26/02/2016
33223788,27/03/2013
84508075,21/12/2010
86626929,08/08/2018
94285357,06/07/2015
92676486,19/04/2011
61822076,15/02/2013
87135154,07/02/2017
82991115,25/09/2010
55155797,10/11/2012
17463482,22/11/2011
15232610,24/04/2015
30852127,28/08/2014
98629999,28/09/2012
80718415,03/09/2011
32035879,03/11/2012
42530897,09/10/2016
47928096,14/10/2010
06767251,04/10/2016
96757406,28/11/2017
17312146,09/02/2013
30439157,25/09/2018
86758905,26/09/2010
20532028,22/05/2014
88077939,14/06/2012
41398598,28/11/2018
37576884,07/12/2017
97273414,05/03/2017
41013358,23/07/2018
82774633,06/09/2017
08709613,28/08/2016
68049452,05/04/2012
36563381,15/07/2016
43433448,09/09/2011
17843435,30/04/2018
32852786,30/12/2018
82097161,16/12/2014
17622437,03/03/2011
99804902,26/09/2016
44081166,15/05/2011
54264321,26/01/2019
07145350,09/07/2011
20620697,23/07/2018
18385408,10/10/2017
83464490,02/01/2011
39789632,27/10/2017
40203456,31/10/2018
42762247,25/09/2010
28258945,29/04/2013
61097590,03/04/2011
73722024,26/08/2010
13362536,02/11/2014
27264399,22/03/2018
82500364,28/06/2017
98963533,04/04/2017
42377819,17/06/2010
14161225,15/12/2012
93112590,04/12/2018
02281454,13/09/2012
27553858,09/10/2010
96812249,26/04/2019
55767796,31/08/2011
28596308,16/02/2019
26173815,19/08/2012
04419624,18/09/2018
28433049,25/06/2013
81265098,02/07/2017
63922752,15/02/2016
10264741,29/04/2015
90401561,24/06/2016
31368039,19/08/2017
81015653,09/07/2010
14192997,22/11/2016
91595129,17/04/2011
34599869,14/12/2013
35472604,22/07/2016
85451837,23/10/2011
06721436,23/06/2017
68922743,08/01/2015
82503651,06/08/2011
56322362,25/10/2016
06690895,12/09/2018
39888270,14/12/2015
86329988,19/02/2019
77695114,13/08/2010
86724181,13/02/2014
88712296,07/07/2010
84547681,08/03/2018
59218530,21/12/2017
34887475,21/07/2010
43409242,06/11/2014
98836957,22/08/2010
32506091,29/04/2011
38730659,26/10/2018
01694546,26/11/2012
32857628,16/05/2014
91820924,24/03/2018
96193090,03/04/2018
77687217,02/04/2017
93675716,07/06/2013
48662760,03/11/2010
61699942,03/05/2017
00671652,13/01/2017
60077190,27/01/2016
82775025,14/02/2016
90405948,09/06/2018
23306955,03/06/2017
54988631,04/12/2014
23246157,19/02/2011
32124388,25/11/2014
98933340,15/11/2015
02839617,23/03/2019
07958094,03/07/2013
61744142,06/01/2013
35410411,28/06/2012
57140799,11/04/2011
31305935,25/02/2014
37623034,28/04/2016
45856716,18/03/2013
28497393,06/07/2015
42766981,14/06/2013
17984421,13/11/2017
89408173,18/11/2013
00219408,07/09/2015
46496951,09/04/2015
16216168,18/06/2016
24653749,25/02/2015
93428120,25/04/2019
73510307,28/05/2018
11822977,21/11/2018
25232989,31/10/2016
77300882,19/04/2014
97666078,13/12/2011
40410734,19/11/2015
08988794,13/03/2018
78449170,13/08/2011
50245883,05/02/2014
87156623,11/08/2018
63338477,10/03/2012
88854931,29/06/2010
97515852,10/02/2012
54539454,10/07/2016
26011518,12/06/2015
46971632,17/10/2014
65959642,01/08/2013
50884854,07/08/2012
20997102,05/01/2015
01515786,10/03/2019
09782131,31/01/2011
39307959,05/02/2014
35351244,11/07/2014
95118093,17/09/2013
93366666,09/10/2013
93365232,29/11/2017
32561232,07/06/2017
56471403,19/04/2012
67244449,13/11/2015
72417887,31/05/2015
32935794,20/04/2011
26024140,22/01/2018
88884604,06/11/2010
87841676,05/01/2014
27378258,22/05/2014
88914862,18/07/2011
34422590,09/01/2014
93477817,15/05/2019
66656544,13/03/2017
41573033,21/05/2011
70307890,27/04/2018
51732436,27/04/2011
17228815,27/10/2013
38123915,26/10/2014
55224667,13/06/2015
57635822,29/02/2016
54313522,15/05/2016
07201533,31/05/2014
92415986,10/02/2012
28604169,17/04/2017
02652550,30/06/2013
62123813,25/12/2018
89933027,25/03/2017
95144455,12/08/2017
52611865,28/09/2014
41640131,21/12/2010
57132007,19/05/2014
91084361,28/04/2019
76560579,30/12/2018
56186368,01/05/2015
15617547,11/08/2016
43829380,30/07/2015
95597235,30/08/2017
14756965,06/06/2016
49547781,02/07/2012
35081528,22/02/2011
07188385,11/08/2012
96119244,21/06/2010
58010014,03/03/2019
91384848,27/01/2018
55412314,10/07/2017
57278252,19/12/2011
10634416,16/01/2014
66458217,07/06/2010
77477756,24/09/2011
58057004,24/02/2013
67722720,25/01/2014
99480226,07/12/2015
98692311,21/09/2010
24465104,15/12/2018
38641253,13/05/2011
01419480,25/05/2017
08080579,08/12/2016
15271889,05/11/2015
90783978,02/12/2011
58887121,08/06/2013
57816158,19/02/2012
53635697,24/06/2010
82555558,13/01/2016
16043988,09/04/2012
52736675,20/07/2016
22593940,12/05/2018
41497351,02/04/2014
80404557,04/11/2014
66791581,04/11/2018
36556018,06/03/2013
31229284,09/07/2011
00604059,10/11/2013
54106140,15/05/2018
54911325,14/05/2014
83523798,16/01/2017
35496816,20/02/2018
21348303,13/08/2015
76140557,15/10/2013
90013821,19/01/2015
68169841,04/04/2016
94526341,30/10/2013
69233899,10/02/2019
40148221,02/07/2016
49270189,19/10/2011
20481968,04/10/2011
74499104,06/03/2015
93995633,27/12/2013
21489194,28/02/2017
24709138,17/05/2014
62521695,17/03/2017
76142956,06/03/2018
91294278,14/05/2012
70340990,02/11/2015
33951405,13/12/2011
17132434,22/03/2017
08815870,06/03/2011
40253298,18/01/2013
31357497,05/01/2015
64595216,29/07/2012
98834218,04/05/2012
55614430,23/10/2011
48324400,16/04/2018
61881474,20/05/2013
84049968,21/09/2018
16039433,16/11/2016
50129923,05/07/2017
13262734,06/04/2014
56612822,13/05/2015
11030129,17/02/2014
01539325,10/01/2017
80427370,29/11/2010
12770544,24/05/2011
91370481,03/06/2010
48870140,19/07/2012
41694986,03/02/2012
59600248,01/10/2012
00008463,29/01/2013
63181776,10/11/2015
12426725,04/09/2015
76043416,04/01/2012
69238571,26/05/2012
49714874,23/10/2012
27495986,09/09/2016
20746439,11/07/2013
14121396,10/05/2017
96736619,21/07/2014
21999678,28/07/2018
55265135,13/10/2017
03335176,18/07/2013
08434273,02/04/2015
61987737,14/04/2011
22601550,19/02/2013
64456980,03/01/2017
58587107,05/10/2017
47694228,19/09/2017
42082808,30/08/2011
33446234,27/04/2019
77203373,29/08/2018
55344548,15/08/2013
28935111,28/05/2012
49882303,03/10/2018
96240685,06/04/2013
69420485,27/06/2010
36197767,21/02/2014
39264948,09/03/2018
70520788,17/12/2018
86733071,28/03/2013
70214734,22/11/2017
61013720,17/11/2010
79032391,27/07/2018
19338226,26/02/2018
12800456,06/12/2014
84235769,26/12/2015
38921600,30/05/2014
54250678,24/10/2013
53543349,03/06/2010
17941963,08/11/2018
19070748,19/12/2015
66724332,13/06/2013
84272455,28/01/2016
31456850,28/04/2019
83831049,19/01/2017
34134057,14/08/2013
70604640,29/01/2014
49558801,10/08/2016
84040435,22/12/2014
23344206,12/03/2014
98573788,06/03/2012
20144865,12/08/2011
94091979,03/04/2011
58410102,02/06/2016
42637020,06/04/2013
25132623,15/09/2017
05035519,30/01/2016
22899580,17/10/2011
01935272,03/07/2018
96964529,30/09/2017
18572366,06/12/2011
32134586,04/02/2018
45298941,18/09/2015
70069255,29/07/2014
23483815,14/03/2019
20539271,25/04/2011
92072398,11/06/2017
51851872,07/09/2017
12573586,06/11/2011
58474717,24/12/2014
04010576,05/01/2016
13927015,23/08/2012
77613878,26/02/2015
06045650,17/10/2012
86982116,25/10/2018
51244388,28/03/2015
92191342,01/03/2014
36539967,10/09/2018
54270812,29/09/2013
96765423,10/02/2012
91935845,10/03/2017
11301078,01/02/2013
68547156,27/12/2018
52931587,26/05/2012
55063662,12/07/2011
91751583,21/06/2012
88139505,02/05/2019
70827359,03/06/2017
02302487,25/10/2012
47496064,25/03/2014
48952530,27/07/2012
66988652,18/03/2014
04054289,15/07/2015
84766993,26/01/2018
21496131,20/05/2011
76796324,30/03/2013
17492873,21/07/2012
87730054,31/01/2016
38076261,25/01/2015
40606166,10/12/2017
44488318,27/11/2018
13032973,19/08/2018
41374458,07/12/2016
73411215,04/08/2012
39531270,11/06/2012
04808655,25/11/2017
88835666,19/07/2016
34854773,10/10/2017
67759071,16/11/2012
54431541,15/03/2013
85355432,24/02/2013
31830132,02/01/2015
42985028,08/02/2015
90863485,26/12/2013
74247975,14/08/2018
55250859,08/03/2014
50910656,24/10/2017
74659598,16/02/2012
64463476,27/11/2011
59815172,17/08/2014
09904924,23/12/2018
09962220,02/05/2011
93070485,31/03/2017
15069825,12/01/2017
23438860,23/11/2015
62596358,13/08/2010
26634279,27/10/2017
75441266,02/02/2013
57941175,16/10/2011
18813863,30/09/2015
78464611,24/07/2013
88414700,02/10/2013
76554862,09/04/2016
14928227,01/01/2013
37246603,16/04/2015
60493543,06/01/2017
28896152,20/01/2017
51778954,25/04/2017
25271035,30/11/2016
92057207,12/02/2013
75668850,03/06/2016
73708504,23/09/2016
52079871,09/06/2015
73104885,26/05/2014
70534928,02/07/2018
08075944,19/04/2018
88368421,16/03/2018
50060002,17/02/2014
58189954,18/12/2016
56756246,12/10/2010
30551993,23/01/2019
96312608,28/05/2017
89808002,14/07/2018
23474805,05/06/2015
58226180,24/03/2016
97131930,27/08/2017
73352862,06/11/2012
54621515,01/11/2013
56767824,29/07/2012
52753827,19/02/2016
27674517,26/11/2013
26714608,16/06/2015
03929476,15/12/2011
75795836,21/01/2011
21432789,08/10/2013
98517830,22/02/2011
56771052,18/03/2017
55781342,14/06/2014
27639053,11/11/2010
48353640,17/06/2015
37770777,04/08/2012
55719381,23/06/2013
18368746,29/06/2018
54038317,05/06/2018
43387901,20/11/2010
88173290,12/11/2018
70203582,08/11/2018
04927508,13/03/2016
45172557,06/04/2013
51667109,22/10/2013
15954181,28/05/2015
88574762,28/09/2018
70156190,24/04/2017
53306073,24/09/2013
62502363,28/03/2012
32058489,17/02/2014
33770970,12/01/2017
80758274,11/09/2011
17802521,15/07/2018
68596822,10/09/2018
48833694,20/12/2015
07080440,15/09/2011
77557936,07/08/2018
24559519,01/05/2019
21484218,08/07/2010
80037070,18/03/2019
24326881,29/02/2012
94281577,05/01/2018
26502497,14/02/2012
66079407,11/01/2014
15490444,04/05/2013
75036496,06/11/2015
04820426,15/08/2016
17139333,27/06/2010
04263930,10/09/2015
45302006,23/10/2010
36064188,25/04/2016
77691043,31/03/2012
41275294,12/03/2012
28681088,19/12/2012
93687193,17/10/2018
31363977,21/09/2014
61346448,18/06/2010
45506152,05/07/2014
74642646,31/08/2016
90867968,23/07/2012
43389952,01/01/2014
71612112,14/10/2017
44381169,07/03/2012
38637997,17/04/2016
71743059,01/10/2010
95793149,20/03/2012
03714233,26/07/2010
24576780,22/07/2013
25864427,25/01/2018
89934894,03/03/2017
69213669,10/02/2018
78924039,27/08/2012
66631636,13/09/2016
97161444,29/03/2013
56581643,31/03/2017
62239958,10/04/2012
57913216,19/07/2016
96983262,23/06/2010
27915180,18/02/2016
03080324,15/09/2018
79538011,08/06/2014
70212618,28/06/2014
03243424,21/12/2017
25708355,22/10/2016
81973010,04/03/2017
26867757,02/11/2012
41975394,28/09/2016
02713863,11/11/2014
52962662,15/11/2013
99698587,20/06/2012
98149539,16/07/2017
11838605,26/03/2015
80486285,29/10/2013
87209942,15/12/2010
37486477,12/06/2016
68011026,22/01/2016
56075247,09/06/2017
84634805,24/01/2015
08682766,01/10/2017
90119104,07/03/2013
89123804,27/07/2014
83606969,29/06/2015
90067033,01/05/2014
74364984,03/06/2015
04190382,19/02/2011
41673967,19/09/2015
33509722,04/10/2017
61777716,09/08/2013
88895792,11/11/2017
77384753,30/03/2016
41369808,30/11/2010
07598499,29/10/2014
26889852,28/07/2017
77274334,01/07/2014
20564311,18/10/2010
67271789,04/06/2015
82460338,07/03/2015
47431012,14/03/2014
79891171,16/05/2014
19669756,24/12/2013
49634456,31/05/2015
40003309,12/03/2014
91484095,25/01/2018
60008200,04/09/2016
40236977,16/08/2014
76432625,27/05/2013
83968713,02/12/2014
70293334,04/01/2014
67193164,21/07/2011
65407247,16/01/2014
99339686,03/09/2014
32695256,08/09/2012
42906319,17/09/2013
14316530,08/03/2019
69314356,23/09/2012
54274629,05/08/2011
27231314,25/07/2016
28202467,18/08/2017
20978428,01/10/2014
71340684,04/12/2013
19365540,03/05/2013
20380522,28/07/2014
32222443,28/08/2018
61376728,24/08/2011
62830806,15/07/2014
58653445,22/11/2013
45327253,13/12/2018
27741543,28/10/2011
93463408,19/03/2016
32068864,31/07/2012
93449305,04/07/2012
74726695,15/11/2014
24803310,25/06/2016
48625943,11/02/2013
24511674,01/08/2016
80087718,28/04/2015
07831696,19/12/2010
32681709,24/11/2013
10567651,22/07/2013
29165015,29/05/2015
52668064,08/03/2015
64025084,27/01/2014
85328087,02/02/2019
03768917,05/04/2012
47189817,01/01/2015
79343041,07/10/2011
70850630,19/10/2018
51399046,13/01/2015
57221346,27/04/2014
69228243,15/08/2010
96041273,15/09/2010
80620024,08/04/2019
40756417,04/07/2012
93741707,27/09/2011
04206889,05/11/2010
58109086,08/07/2015
95354417,30/10/2014
99269294,28/04/2011
70405298,03/02/2019
35603501,03/02/2019
93921294,20/11/2010
37699476,01/07/2017
96528223,19/02/2019
18625614,11/06/2017
49167451,06/09/2012
26833674,16/10/2011
53047269,15/01/2015
44395139,09/02/2015
81668637,25/10/2016
03815441,11/05/2013
63650817,28/09/2015
67849675,24/06/2018
13004648,12/10/2010
01536809,05/09/2012
44657939,02/04/2015
96659111,19/08/2016
40770696,08/02/2018
19773851,14/05/2011
81661550,22/02/2011
84227055,22/10/2010
67265381,19/06/2010
36754250,26/04/2018
20572503,02/05/2015
79695170,07/01/2019
37681631,10/01/2014
26754405,15/04/2019
67637541,17/01/2012
18891499,15/05/2014
27656747,23/02/2015
09415973,02/07/2010
54162668,09/12/2018
18018353,12/08/2015
03754359,11/03/2015
91185587,09/12/2013
93949400,26/12/2012
94090905,19/11/2013
67703203,08/05/2013
61107037,08/06/2012
51850392,05/12/2014
74344328,17/01/2019
61788904,06/11/2017
17507850,17/07/2010
80468643,13/06/2010
20808328,06/04/2014
46159396,31/01/2019
82180384,23/09/2016
49403840,26/09/2017
46084705,08/08/2017
05222169,21/09/2013
58660055,11/02/2019
05716817,05/04/2015
75829100,07/11/2011
92023664,26/09/2015
82529057,13/06/2015
64271619,03/04/2011
57326302,11/06/2015
67445040,27/03/2012
33940192,10/09/2018
18969617,07/06/2013
86889430,20/06/2012
32869770,15/07/2012
29013249,26/05/2011
69823430,05/04/2018
88475420,21/04/2015
89253547,20/07/2011
57290167,02/02/2014
47276131,10/02/2019
12151745,14/01/2014
65991956,26/03/2012
42521969,27/04/2013
07254525,10/11/2011
58138037,28/05/2015
73341641,18/12/2017
70921300,02/05/2018
93576912,10/04/2015
41180934,01/08/2012
11245978,22/10/2010
96852827,01/06/2018
98465761,18/07/2016
83555342,13/11/2016
57285369,25/09/2012
26167306,30/11/2018
84024928,18/07/2018
36809629,25/08/2018
59071281,23/02/2011
67955966,14/06/2014
09122398,21/04/2015
86244665,16/12/2013
53601513,08/05/2019
56401985,09/12/2017
42647603,05/01/2016
74985296,03/11/2012
54251551,15/10/2018
05599211,26/07/2012
21172570,09/08/2012
28474734,14/11/2012
82547402,22/07/2011
85626369,27/09/2011
32195652,29/04/2018
34993050,13/01/2013
76334642,07/04/2016
76972094,15/08/2017
81893255,03/06/2014
57236365,08/08/2017
13914475,18/02/2017
90348898,07/04/2017
25889478,20/03/2012
27548738,05/05/2015
57437878,23/01/2014
89293079,17/06/2014
86129189,29/07/2017
17712702,14/10/2017
10702915,14/10/2013
00533039,14/01/2017
20885639,29/12/2015
46081649,08/01/2017
95532523,29/09/2011
79028658,30/05/2017
75950246,06/09/2013
18344738,30/07/2011
81816042,13/02/2016
26869767,05/09/2010
59759597,11/05/2017
63245100,04/09/2014
67653784,22/09/2012
83625190,02/03/2018
69134846,02/12/2015
11659529,01/04/2014
05803335,26/08/2017
20635718,01/01/2019
11882870,29/04/2019
76517862,20/01/2011
02344748,11/04/2016
23128416,23/07/2011
53255867,16/02/2011
21321345,18/04/2016
80586805,14/07/2010
48421011,15/07/2011
27924008,13/06/2018
28981897,20/04/2013
86678742,16/11/2015
45149148,06/01/2018
21646130,21/08/2011
62875904,13/05/2019
86790395,24/10/2010
45496897,04/03/2019
53969994,27/03/2014
18206371,03/01/2019
59753710,30/04/2016
17109764,19/09/2016
97831056,24/06/2013
01199073,28/02/2017
75290643,27/03/2011
70310893,30/03/2011
21570177,22/07/2016
08912234,06/05/2011
87330843,05/11/2012
93531001,06/01/2016
87197061,23/11/2016
20003241,12/09/2015
12882819,30/05/2010
16468697,19/11/2015
83087986,07/12/2012
78553063,20/03/2018
14553096,11/08/2018
95615305,03/01/2019
78863546,24/02/2012
73841188,08/06/2013
64188643,30/03/2017
11764354,16/06/2015
46711541,28/12/2018
35066690,10/02/2016
21555526,16/05/2012
91675942,06/01/2014
26105619,06/05/2019
47260223,04/11/2017
92085209,09/08/2017
85104367,02/02/2012
90501135,21/01/2016
30526268,28/06/2017
74815874,03/09/2012
76973475,14/06/2014
24908262,29/10/2017
77454387,02/08/2010
01183219,14/06/2017
82947025,13/08/2010
98511616,10/10/2013
67947735,24/10/2013
77182666,16/09/2017
