id,ime,kraj,drzava,direktor,zaloga
469538,Ankunding Hospital,Dubna,Russia,Cass Reaney,485
774334,Hintz Hospital,Kimry,Russia,Bonnee Devinn,699
554419,Baumbach Hospital,Vilkaviskis,Lithuania,Shelley Beeze,609
540857,Moen Hospital,La Garde,France,Maximilian Karolowski,305
511870,Pacocha Hospital,Rudolfov,Czech Republic,Katerine Couroy,732
223259,Connelly Hospital,Lesnikovo,Russia,Maryanne Fenech,809
904478,Bernhard Hospital,Zainsk,Russia,Gae Licas,282
420472,Lynch Hospital,Hats’avan,Armenia,Shay Abernethy,120
201495,Lesch Hospital,Arnhem,Netherlands,Alida Duggan,700
771324,Bernier Hospital,Argel,Armenia,Britte Pettus,987
074361,Treutel Hospital,Zavetnoye,Russia,Gauthier Illsley,503
216898,Cronin Hospital,Stepanovićevo,Serbia,Ivonne Galiero,141
975844,Wintheiser Hospital,Klenčí pod Čerchovem,Czech Republic,Loree Poone,908
024272,Fay Hospital,Saint-Rémy-de-Provence,France,Becka Birdfield,81
768837,Wyman Hospital,Newmarket on Fergus,Ireland,Bennett Carruth,448
541678,Schmeler Hospital,Aleksandrovac,Serbia,Bonny Stanistrete,584
820040,Bernhard Hospital,Izobil’nyy,Russia,Olag MacCoveney,366
145419,Hayes Hospital,La Plaine-Saint-Denis,France,Johnnie Tidder,919
973120,Zboncak Hospital,Pau,France,Arleta Woodeson,876
683014,Huel Hospital,Pestovo,Russia,Thorny Havelin,128
335670,Weissnat Hospital,Debesy,Russia,Quinton Manus,659
409065,Lueilwitz Hospital,Karabanovo,Russia,Cindee Carnachen,972
313907,Douglas Hospital,Sandviken,Sweden,Anstice Tiuit,28
284591,Kuphal Hospital,Muromtsevo,Russia,Lynna Bumpass,753
525885,Willms Hospital,Oslo,Norway,Finley Pethybridge,360
750982,Williamson Hospital,Serednye Vodyane,Ukraine,Meredithe Trill,386
991631,Paucek Hospital,Maganha,Portugal,Jilleen Lambal,949
904522,Huels Hospital,Annonay,France,Boris Kingsmill,922
177190,Nolan Hospital,Tvŭrditsa,Bulgaria,Ali Teggart,718
275164,Weissnat Hospital,Fotolívos,Greece,Harlie Revely,288
698377,Mosciski Hospital,Osielec,Poland,Mel McGaughay,979
643133,Franecki Hospital,Arco de Baúlhe,Portugal,Guthrey De Vaan,31
155610,Wuckert Hospital,Fleury-les-Aubrais,France,Andriana Trorey,846
080879,Dach Hospital,Baranowo,Poland,Germaine Beckey,588
941406,Rempel Hospital,Odoyev,Russia,Fabio Goodyear,942
340085,Stark Hospital,Nizhnyaya Tura,Russia,Rolfe Persence,741
530502,Hahn Hospital,Kunda,Estonia,Cristian Elderkin,286
013178,Connelly Hospital,Pankovka,Russia,Enrika Alfonzo,108
628747,Wiegand Hospital,Zelenogradsk,Russia,Emmery Dannohl,530
611120,Powlowski Hospital,Guingamp,France,Reiko Stuchburie,143
817653,White Hospital,Trondheim,Norway,Sarajane Ellington,969
384151,Pfeffer Hospital,Anthoúsa,Greece,Jory Northgraves,887
106876,Ebert Hospital,Corujeira,Portugal,Chrisse Serrier,629
193631,Kris Hospital,Saint-Grégoire,France,Bertrando Mosedill,901
143036,Funk Hospital,Brzeźnica,Poland,Loralie Pendrey,582
251257,Jerde Hospital,Porta,Portugal,Olimpia Wisdish,410
508912,Donnelly Hospital,Bile,Ukraine,Sashenka Buttler,477
396760,Bergstrom Hospital,Turki,Russia,Winn Fansy,273
562931,Stehr Hospital,Enköping,Sweden,Eirena Cutcliffe,657
276292,Mayert Hospital,Neochóri,Greece,Torie Bloodworth,586
268330,Moore Hospital,Brest,France,Ronica Ducaen,236
521510,Krajcik Hospital,Kcynia,Poland,Ardisj Winship,948
364482,Von Hospital,Krivaja,Serbia,Zelig Oxberry,599
678331,Smitham Hospital,Nagornyy,Russia,Web Markussen,409
508659,Hintz Hospital,Kizlyar,Russia,Carleton Marcone,665
190562,Braun Hospital,Kapan,Armenia,Serge Shervington,722
478584,Olson Hospital,Štítná nad Vláří,Czech Republic,Myrta Spillane,206
410561,Jakubowski Hospital,Reinaldes,Portugal,Jorie Hekkert,870
014499,Hermann Hospital,Potok Złoty,Poland,Nani Albro,924
070005,Morissette Hospital,Cepões,Portugal,Judie Toffolo,19
872342,Larson Hospital,Krasnyy Profintern,Russia,Cherilynn Accum,349
871056,Orn Hospital,Sokolovo,Russia,Ebenezer Rorke,44
963560,Reilly Hospital,Bachowice,Poland,Annadiane Pilmoor,591
486474,Heidenreich Hospital,Nowosielce,Poland,Mag Berkley,304
987286,Ledner Hospital,Pécs,Hungary,Fielding Tillett,445
758690,Konopelski Hospital,Vénissieux,France,Melva Lutsch,525
538902,Christiansen Hospital,Sollefteå,Sweden,Jefferson Eveling,21
039103,Lemke Hospital,Yelenendorf,Azerbaijan,Brandice Dawtre,271
950018,Runte Hospital,Denton,United Kingdom,Steffie Domegan,866
504015,Rempel Hospital,Zebrzydowice,Poland,Tiebold Lamey,704
520017,Gulgowski Hospital,Stuttgart,Germany,Quinton Larwood,407
489933,Gaylord Hospital,Novozavedennoye,Russia,Carney McVee,781
932792,Torphy Hospital,Smyshlyayevka,Russia,Daniella Portam,51
862172,Bartoletti Hospital,Mardakyany,Azerbaijan,Lem Hearsey,412
772625,Hermann Hospital,Konče,Macedonia,Delilah Lorkin,637
315611,Hamill Hospital,Oslo,Norway,Sula Stanistrete,321
264667,Cole Hospital,Inđija,Serbia,Jodi Bendell,767
474244,Fritsch Hospital,Slobodskoy,Russia,Agnes Fritschel,272
838302,Daniel Hospital,Czudec,Poland,Bil Shippey,602
267224,Padberg Hospital,Zaqatala,Azerbaijan,Joleen Castagnet,309
312485,Mueller Hospital,Berendeyevo,Russia,Glyn Twiddell,244
901793,Marvin Hospital,Domaradz,Poland,Margarete Yushkin,629
290668,Mante Hospital,Södertälje,Sweden,Vania Wilkinson,418
208628,Von Hospital,Ursus,Poland,Saxe Lange,793
671825,Ward Hospital,Szemud,Poland,Carole Crips,345
823605,Leannon Hospital,Zakroczym,Poland,Howey Biford,225
358472,Gibson Hospital,Požarevac,Serbia,Dag Shafier,375
100845,Stracke Hospital,Landskrona,Sweden,Yevette Hillyatt,676
687817,Miller Hospital,Yeri,Cyprus,Tonnie Ivers,213
332209,Beatty Hospital,Néa Kíos,Greece,Frazer Cheetham,817
978497,Yundt Hospital,Polýkastro,Greece,Daren Gosson,71
329557,Zieme Hospital,Rozsypne,Ukraine,Elvira Hebdon,327
714956,Barton Hospital,Polunochnoye,Russia,Ranice Pien,526
742792,Parisian Hospital,Krasnaye,Belarus,Katha Breen,994
589611,McCullough Hospital,Kivsharivka,Ukraine,Karrah Bettenson,886
114829,O'Kon Hospital,Funchal,Portugal,Johny Slograve,696
071886,Bartoletti Hospital,Połajewo,Poland,Nanci Evert,376
733594,Boyer Hospital,Larnaca,Cyprus,Carol Jumeau,745
669691,Russel Hospital,Syzran’,Russia,Gilligan McReidy,889
801308,Labadie Hospital,Halle,Germany,Kiri Kilpatrick,416
730959,Macejkovic Hospital,Évora,Portugal,Mile Duval,509
835504,Hilpert Hospital,Söderhamn,Sweden,Lola Gifkins,844
293867,Swaniawski Hospital,Tyukalinsk,Russia,Yelena Pietrusiak,1
304923,Wisozk Hospital,Bielawa,Poland,Leighton Stonhewer,470
141034,Feil Hospital,Miastków Kościelny,Poland,David MacGown,805
035734,Haag Hospital,Pedroso,Portugal,Ewan Heams,493
180030,Bruen Hospital,Bezons,France,Stacee Doulton,723
743444,Lang Hospital,Mysiadło,Poland,Denna Jonson,311
015429,Ullrich Hospital,Tarbes,France,Wayne O'Doherty,284
978784,Fay Hospital,Újezd,Czech Republic,Row Leythley,824
157565,Kuhlman Hospital,Wissous,France,Dallas Bryers,819
538859,Flatley Hospital,Beauvais,France,Augy Lomond,748
506592,Feeney Hospital,Apatin,Serbia,Willetta Gibbins,148
465473,Yost Hospital,Karlskrona,Sweden,Leandra Thorington,178
687736,King Hospital,Souto,Portugal,Aggie Tapsfield,222
836092,Christiansen Hospital,Saransk,Russia,Booth Dowber,734
053292,Schneider Hospital,Yaransk,Russia,Cosimo Orwin,604
906971,Fay Hospital,Nizhneivkino,Russia,Jeri Walden,97
421105,Lubowitz Hospital,Johanneshov,Sweden,Anselm Daily,698
729871,Deckow Hospital,Lukovica pri Domžalah,Slovenia,Richie Carmen,332
730729,Gusikowski Hospital,Vale Maceiras,Portugal,Clarabelle Badwick,696
774977,Hahn Hospital,Rio Covo ( Santa Eulália ),Portugal,Camille Hamon,332
862536,Dietrich Hospital,Juupajoki,Finland,Ebony Tampin,607
253678,Balistreri Hospital,Olszówka,Poland,Thorndike Brekonridge,281
966799,Weimann Hospital,Karlobag,Croatia,Zitella Nettles,419
123373,Streich Hospital,Trpinja,Croatia,Dael Olley,796
326436,Thompson Hospital,Káto Glikóvrisi,Greece,Joletta Pull,431
194687,Hilll Hospital,Cernik,Croatia,Sterne Klulisek,885
655980,Morar Hospital,Niort,France,Robinet Ollerenshaw,987
840979,Maggio Hospital,Obrenovac,Serbia,Nollie Valentim,817
049789,Crist Hospital,Wuppertal,Germany,Norrie Castellet,10
905943,Kuvalis Hospital,Enschede,Netherlands,Leonard Brownlea,699
656959,Walsh Hospital,Tyczyn,Poland,Torrin Smurthwaite,6
340775,Runolfsson Hospital,Aldeia da Mata,Portugal,Garry De Moreno,771
549779,Beahan Hospital,Mežica,Slovenia,Dusty Glamart,418
178477,Rohan Hospital,Njivice,Croatia,Marven Phripp,38
076065,Beahan Hospital,Langley,United Kingdom,Corney Rosengarten,355
007657,Stokes Hospital,Strömsund,Sweden,Doro Chiplin,975
963694,Leuschke Hospital,Marisol,Portugal,Cindie Hayter,875
316501,Marks Hospital,Bairro de Santo António,Portugal,Roselia Ashpole,599
512569,Shanahan Hospital,Čoka,Serbia,Agna Vina,805
636162,Herzog Hospital,Bełk,Poland,Emalia Moorman,276
251806,Lemke Hospital,Sarajevo,Bosnia and Herzegovina,Karney Laurenty,22
820682,Gorczany Hospital,Tullamore,Ireland,Editha Cordeix,136
944725,Senger Hospital,Rouen,France,Helaina Drugan,303
863450,Feeney Hospital,Yurovka,Russia,Kalinda MacBrearty,502
126941,Strosin Hospital,Lewin Kłodzki,Poland,Nikolaus Pietron,363
476797,Koelpin Hospital,Fabianki,Poland,Kary Bellson,499
016994,Hirthe Hospital,Świętochłowice,Poland,Maureene Andreev,822
428973,Stoltenberg Hospital,Oni,Georgia,Quintin Ottee,303
259770,Dooley Hospital,Klenovyy,Ukraine,Gareth Dreier,640
522181,Hermann Hospital,Nowe Miasto,Poland,Dante O Mullen,198
765150,Bogisich Hospital,Asprángeloi,Greece,Isidro Henrichs,481
001311,Cruickshank Hospital,Khlevnoye,Russia,Madelon Standish,268
695409,McCullough Hospital,Järfälla,Sweden,Othelia Bridgeland,41
749010,Lehner Hospital,Białobrzegi,Poland,Lilah Mattityahou,661
568377,Becker Hospital,Locminé,France,Sharia Batman,434
042892,Gulgowski Hospital,Chrastava,Czech Republic,Morrie Normavell,650
753601,Reichel Hospital,Kurortnyy,Russia,Michel Ogilvie,889
175602,Sporer Hospital,Gyumri,Armenia,Ellary McGrudder,154
439941,Feil Hospital,Arklow,Ireland,Wilone Niesing,598
448099,Botsford Hospital,Portëz,Albania,Georgine Beautyman,760
864761,Schmitt Hospital,Astara,Azerbaijan,Audre Canellas,86
406583,Hoeger Hospital,Strasbourg,France,Sheelah Pollack,362
778559,Harris Hospital,Eaubonne,France,Sibby McGifford,598
286083,Stracke Hospital,Hausjärvi,Finland,Pammi Frays,866
941684,Stamm Hospital,Shchigry,Russia,Keefer McCook,368
635899,Cremin Hospital,Lidköping,Sweden,Moll Jakubowski,801
755128,Hoppe Hospital,Buchach,Ukraine,Ros Boame,270
088193,Stracke Hospital,Alvaiázere,Portugal,Marielle Canny,261
677972,Keeling Hospital,Kalinovo,Russia,Marin Pietzker,846
398979,Herman Hospital,Belsk Duży,Poland,Teresa Foxen,493
119887,Labadie Hospital,Monte Novo,Portugal,Bettine Housecroft,778
381179,Mayer Hospital,Krasnodon,Ukraine,Jerald Robjohns,70
467211,McLaughlin Hospital,Lipnica Wielka,Poland,Daniela Escritt,971
221122,Lueilwitz Hospital,Mesopotamía,Greece,Nikolaus Corbally,110
671956,Collier Hospital,Tlumach,Ukraine,Joella Maine,187
851163,Hessel Hospital,Sosándra,Greece,Elnore Willshee,845
830567,Leuschke Hospital,Uppsala,Sweden,Kerrin Sigars,839
965551,Harris Hospital,Sayansk,Russia,Pascal Renals,472
076471,Hudson Hospital,Mnichovo Hradiště,Czech Republic,Orly Smallsman,174
499660,Huels Hospital,Vetrino,Bulgaria,Rosmunda Masseo,761
449902,Rice Hospital,Campanário,Portugal,Robina Barth,922
557009,Goodwin Hospital,Klimovsk,Russia,Baudoin Crabbe,230
534462,Smitham Hospital,Alenquer,Portugal,Sherry Doddemeede,223
638952,Powlowski Hospital,Havířov,Czech Republic,Nita Syred,338
206914,Hickle Hospital,Toulouse,France,Veriee Fransewich,824
114126,Frami Hospital,Zainsk,Russia,Wilbur Dacres,276
989005,Beatty Hospital,Sofia,Bulgaria,Julian Girardin,479
794404,Kessler Hospital,Boulaide,Luxembourg,Randall Broggetti,285
510185,Buckridge Hospital,Tyresö,Sweden,Esmaria Couvet,883
564758,Bosco Hospital,Łubnice,Poland,Cash Bullent,508
333513,Heaney Hospital,Aleksandrovka,Ukraine,Gena Bankhurst,361
167294,Metz Hospital,Aban,Russia,Hymie Westwater,262
607815,Kunze Hospital,Cambrai,France,Temp Shuttlewood,869
576206,Kuhic Hospital,Sainte-Luce-sur-Loire,France,Claybourne Thoresbie,370
131030,Collier Hospital,Martingança-Gare,Portugal,Sibilla Tomini,953
778737,Crooks Hospital,Perovo,Russia,Eugen Eburah,617
452762,Prosacco Hospital,Grojec,Poland,Odille Davidowsky,578
335655,Rohan Hospital,Nancy,France,Glen Rolfs,462
171183,Koepp Hospital,Bourgoin-Jallieu,France,Anstice De Carolis,516
579898,Mohr Hospital,Oslo,Norway,Wilma Shires,953
532083,Hessel Hospital,Goczałkowice Zdrój,Poland,Moselle Caunt,824
953611,O'Kon Hospital,Dubki,Russia,Tybalt Muslim,589
616851,Kovacek Hospital,Meget,Russia,Cristobal Christmas,386
424658,Schamberger Hospital,Várzea de Sintra,Portugal,Kalila Wadly,269
572784,Brown Hospital,Metsovo,Greece,Chandra Laise,332
562063,Ziemann Hospital,Duas Igrejas,Portugal,Sandy Matisoff,856
819497,Auer Hospital,Arcossó,Portugal,Tye MacLice,13
651361,Bernhard Hospital,Pisão,Portugal,Corby Wheatland,227
366754,Smith Hospital,Bratislava,Slovakia,Eden Rockcliffe,624
234421,O'Connell Hospital,Montpellier,France,Sherwynd Vedstra,341
682540,Ankunding Hospital,Skópelos,Greece,Anneliese Moxley,760
535745,Streich Hospital,Saint-Denis,France,Reinhard Welldrake,337
677970,Reichel Hospital,Íasmos,Greece,Juliann Penk,346
066867,Mann Hospital,Falun,Sweden,Jessamine Whitford,653
861588,Cummings Hospital,Sagopshi,Russia,Blaire McOmish,498
672074,Reinger Hospital,Troitskiy,Russia,Bay Barendtsen,512
458175,Okuneva Hospital,Sabnova,Russia,Nicolea Leif,3
858483,Wehner Hospital,Neochóri,Greece,Mord Blazewicz,958
330798,Larkin Hospital,Nyrob,Russia,Roley Herrieven,532
370114,Monahan Hospital,Frýdlant,Czech Republic,Duane Sydes,984
893154,Greenfelder Hospital,Calais,France,Charlena Gulley,584
431671,Howe Hospital,Skerries,Ireland,Dela De Goey,900
047280,Aufderhar Hospital,Dzhiginka,Russia,Sonnnie Ducker,335
099872,Lubowitz Hospital,Malinovoye Ozero,Russia,Evanne Bird,485
177742,Koss Hospital,Paris 12,France,Katuscha Spillman,140
590937,Yundt Hospital,Pryvol’ny,Belarus,Elspeth Dahmel,70
728763,Jacobi Hospital,Zarichchya,Ukraine,Antonius Culcheth,797
132182,Langworth Hospital,Järfälla,Sweden,Elizabeth Shearsby,394
903865,Runolfsson Hospital,Mukhen,Russia,Natale Cahalan,225
585419,Predovic Hospital,Lenešice,Czech Republic,Courtney Lanston,551
623952,Fritsch Hospital,Malgobek,Russia,Lazaro Espinosa,231
458104,Feest Hospital,Peterhof,Russia,Shanie Bover,177
218293,Schuster Hospital,Boxholm,Sweden,Ramona McQuaker,299
147606,Boehm Hospital,Almodôvar,Portugal,Denna Brosh,351
968544,Stoltenberg Hospital,Sovetskaya,Russia,Robb Silbert,61
479801,Mills Hospital,Stockholm,Sweden,Weider Longson,3
836059,Waters Hospital,Młynary,Poland,Kathi Hardaway,422
008333,Kertzmann Hospital,Doksy,Czech Republic,Chere Kettleson,334
643737,Hayes Hospital,Vale de Mendiz,Portugal,Marie-jeanne Swapp,600
720715,Halvorson Hospital,Kurzętnik,Poland,Dulci Dowzell,498
756391,Cummings Hospital,Strzelce Krajeńskie,Poland,Baillie Constanza,376
093641,Stanton Hospital,Lyubashivka,Ukraine,Lauren Donaldson,291
980971,Kuphal Hospital,Murganhal,Portugal,Halsey Goundsy,672
280948,Halvorson Hospital,Uglegorsk,Russia,Maurizio Conaghy,505
689586,Will Hospital,Velingrad,Bulgaria,Bendite Kielt,471
221516,Ankunding Hospital,Alingsås,Sweden,Vania Godsil,198
082038,Turner Hospital,Montemor-o-Velho,Portugal,Gael Humm,828
933138,Nader Hospital,Reisjärvi,Finland,Jeralee Castleton,635
282430,Hessel Hospital,Grenoble,France,Bamby Joll,685
186150,Cummerata Hospital,Belyye Berega,Russia,Donny Kaubisch,137
222097,Feil Hospital,Jakubowice Murowane,Poland,Gipsy Polet,393
034482,Rohan Hospital,Mariestad,Sweden,Maia Schleicher,408
015677,Langosh Hospital,Smečno,Czech Republic,Monique Doelle,644
693629,Rolfson Hospital,Bački Petrovac,Serbia,Olwen Skydall,855
902616,Barrows Hospital,Enschede,Netherlands,Hilary Bythway,314
504834,Jenkins Hospital,Paltamo,Finland,Odell Godon,456
174412,Swaniawski Hospital,Čajniče,Bosnia and Herzegovina,Lotty Cobbald,522
382592,Wuckert Hospital,Soledar,Ukraine,Jammal Hanstock,41
226031,Bogisich Hospital,Mâcon,France,Augustin Smorthit,757
431600,Monahan Hospital,Linëvo,Russia,Charlie Ahmed,67
197114,Goldner Hospital,Dvinskoy,Russia,Charisse Lenaghen,836
549755,Lind Hospital,Reggio Calabria,Italy,Pansie Wemes,696
692822,Feest Hospital,Kimil’tey,Russia,Pennie Slator,921
595644,Greenfelder Hospital,Stockholm,Sweden,Willyt Klicher,836
746615,Eichmann Hospital,Aix-en-Provence,France,Ferdinande Philipsen,332
948368,Cassin Hospital,Toulon,France,Candie Gouch,770
673542,VonRueden Hospital,Novodvinsk,Russia,Dalton Goodfellowe,217
286247,Lubowitz Hospital,Sychëvo,Russia,Candide Moehle,596
143236,Koelpin Hospital,Borlänge,Sweden,Bart Torrent,46
792674,Pollich Hospital,Zherdevka,Russia,Barn Jennemann,516
410422,Murphy Hospital,Asbest,Russia,Bryn Groves,311
098507,O'Hara Hospital,Kortkeros,Russia,Nonnah Huggill,231
244723,Jewess Hospital,Gudja,Malta,Ronalda Boutellier,162
366198,Towne Hospital,Troyes,France,Eddi Wrettum,106
473960,Glover Hospital,Khrenovoye,Russia,Kristan Godridge,205
479058,Rohan Hospital,Rasskazovo,Russia,Dorothea Andresen,572
940357,Runolfsson Hospital,København,Denmark,Annalee Haile,352
920591,Sauer Hospital,Niwiska,Poland,Anny Kerins,433
400277,Russel Hospital,Santa Catarina,Portugal,Ervin Antognelli,513
566247,Lemke Hospital,Isakly,Russia,Olga Dargan,752
257452,Koss Hospital,Paris 17,France,Georas Farncomb,740
119638,Leuschke Hospital,Novoanninskiy,Russia,Nicol Falconer,727
724672,Herman Hospital,Jablunkov,Czech Republic,Feodora Ong,121
094853,Cummings Hospital,Svilengrad,Bulgaria,Beret Elan,317
221909,Erdman Hospital,Firovo,Russia,Harp Boorman,271
176360,Huel Hospital,Lis,Albania,Thibaud Morrieson,936
553967,Reinger Hospital,Zabrušany,Czech Republic,Glennie Saffrin,451
168852,Nitzsche Hospital,Lechinkay,Russia,Gordon Conklin,955
639616,Cartwright Hospital,Karlstad,Sweden,Ad Hartright,401
887228,Marvin Hospital,Aubervilliers,France,Gloriana Gowry,76
811100,Bashirian Hospital,Zelenodolsk,Russia,Birgitta Naish,596
303032,Herman Hospital,Houten,Netherlands,Sissie Luciano,286
836212,Schiller Hospital,Madrid,Spain,Derek Ottiwill,596
554922,Bergstrom Hospital,Agara,Georgia,Renae Nudd,714
741568,Stark Hospital,Karlskoga,Sweden,Melesa Woodhams,687
082221,Feest Hospital,Tomilino,Russia,Sabine MacFadden,668
944755,Mohr Hospital,La Roche-sur-Yon,France,Gregoire Josebury,164
698720,Sporer Hospital,Béziers,France,Eba Reddie,215
715544,Jenkins Hospital,Zwolle,Netherlands,Shandy Markie,639
297927,O'Hara Hospital,Dinan,France,Iggy Kubicka,113
709889,Wiza Hospital,Bełżec,Poland,Meggy Kubala,882
298744,Crona Hospital,Donnybrook,Ireland,Alister MacCoughen,963
898885,Dickinson Hospital,Castedo,Portugal,Perice Ciottoi,747
347259,Heaney Hospital,Nurmo,Finland,Stephan Lathleiffure,624
017152,Kuhn Hospital,Mospyne,Ukraine,Sadye Toll,622
808506,Haag Hospital,Colmar,France,Celine Mainson,276
002731,Gislason Hospital,Zakan-Yurt,Russia,Moyna Falls,961
307919,Armstrong Hospital,Bosanski Šamac,Bosnia and Herzegovina,Basilius Martellini,277
901116,Pfeffer Hospital,Göteborg,Sweden,Virginie Aldhous,295
550829,Kertzmann Hospital,Vyaz’ma,Russia,Flori Peaden,615
334593,Bernier Hospital,Buda-Kashalyova,Belarus,Row Reith,228
421020,Ziemann Hospital,Stanisław Górny,Poland,Molli Ebourne,916
514742,Ruecker Hospital,Stroitel’,Russia,Aviva Lines,240
952345,Shields Hospital,Gagarin,Armenia,Hermann McInnery,679
111848,Nienow Hospital,Horní Čermná,Czech Republic,Stavros Sustins,406
186997,Bechtelar Hospital,Oslo,Norway,Yance Quarless,699
656467,Marks Hospital,Šuto Orizare,Macedonia,Fernandina Meneer,336
243945,Jerde Hospital,Achadinha,Portugal,Sam Castelletti,450
458130,Dietrich Hospital,Chervonohryhorivka,Ukraine,Luke Hellin,893
109589,Goodwin Hospital,Zheleznogorsk-Ilimskiy,Russia,Gil Chopin,190
232331,Balistreri Hospital,Chernelytsya,Ukraine,Gregorio Jentgens,252
733082,Wuckert Hospital,København,Denmark,Taber Cettell,894
433280,Hettinger Hospital,Oslo,Norway,Lynn Suckling,324
968203,Cormier Hospital,Dimitrovgrad,Bulgaria,Tandi Wayper,14
561318,Doyle Hospital,Celestynów,Poland,Hanan Leaver,371
920005,Ward Hospital,Wola Uhruska,Poland,Carlen Oliveto,740
015907,Jerde Hospital,Västerås,Sweden,Leesa Lamzed,395
795942,Lubowitz Hospital,Mingelchaur,Azerbaijan,Idalina McAlinden,255
371005,Koelpin Hospital,Rokytne,Ukraine,Giorgio Orrick,662
881643,Stiedemann Hospital,Pereyaslav-Khmel’nyts’kyy,Ukraine,Baily Belbin,30
433446,Olson Hospital,Novokuz’minki,Russia,Daveen Jozwiak,124
402494,Connelly Hospital,Skole,Ukraine,Ezekiel Frost,872
232101,Sauer Hospital,Vale Boeiro,Portugal,Kirsti Burman,171
842080,Gorczany Hospital,Kumla,Sweden,Christan Sames,906
346956,Hickle Hospital,Bollstabruk,Sweden,Merola Jovicevic,612
864495,Buckridge Hospital,Marseille,France,Nara Antyshev,41
485994,Bahringer Hospital,Monte de Fralães,Portugal,Coriss Stinton,415
856870,Trantow Hospital,Novozybkov,Russia,Evelyn Arro,801
271560,Sporer Hospital,Novi Bilokorovychi,Ukraine,Karoly O'Currine,427
676274,Watsica Hospital,Bol’shoy Karay,Russia,Thatch Reynolds,632
508444,Haag Hospital,Mnichovo Hradiště,Czech Republic,Glyn Musslewhite,502
139377,Bode Hospital,Zyablikovo,Russia,Angelica Zucker,112
209319,Hodkiewicz Hospital,Thiais,France,Aidan Ramsdale,752
046430,Reinger Hospital,Oktyabr’skiy,Russia,Enoch Sprackling,978
393884,Zulauf Hospital,Löddeköpinge,Sweden,Ardith Hudghton,149
618689,Crona Hospital,Jeziorany,Poland,Nicole Thaine,82
030524,Boehm Hospital,Huddinge,Sweden,Myrlene Schimann,842
060488,Zboncak Hospital,Rtyně v Podkrkonoší,Czech Republic,Marquita Tomley,528
220363,Blick Hospital,Gävle,Sweden,Garvin Crebott,946
056987,Kirlin Hospital,Sochaux,France,Ida Oboy,543
297338,Feeney Hospital,Valinhos,Portugal,Arluene Suddaby,966
293349,Feil Hospital,Sölvesborg,Sweden,Iona Puller,726
